Date,Open,High,Low,Close,Volume,Close_Time,Number_of_Trades,EMA,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2021-12-14,46702.76,48700.41,46290.0,48343.28,39955.98445,1639526399999,1194992,54852.014414876736,29.56004833047099,56875.30692465433,44052.17450391709,0,0
2021-12-15,48336.95,49500.0,46547.0,48864.98,51629.181,1639612799999,1438176,54638.19175720257,30.51117380077899,55015.135718212194,44723.904281787814,0,0
2021-12-16,48864.98,49436.43,47511.0,47632.38,31949.86739,1639699199999,1023983,54387.98419444534,29.77340996063478,52822.164991646954,45652.880722638765,0,0
2021-12-17,47632.38,47995.96,45456.0,46131.2,43104.4887,1639785599999,1261780,54093.09904464372,31.775510771694528,51659.2518759005,45748.67240981378,0,0
2021-12-18,46133.83,47392.37,45500.0,46834.48,25020.05271,1639871999999,862066,53833.86265019216,43.08008566640139,51641.4747336724,45435.30812347045,0,0
2021-12-19,46834.47,48300.01,46406.91,46681.23,29305.70665,1639958399999,874827,53578.41148411387,41.85050137831012,51554.10916389243,45134.802264679,0,0
2021-12-20,46681.24,47537.57,45558.85,46914.16,35848.50609,1640044799999,1076488,53340.402502538374,38.86820292551415,51142.746437443144,45042.19927684257,0,0
2021-12-21,46914.17,49328.96,46630.0,48889.88,37713.92924,1640131199999,1119412,53181.45527030486,45.193336467861755,50713.13726542858,45229.084163142834,0,0
2021-12-22,48887.59,49576.13,48421.87,48588.16,27004.2022,1640217599999,949480,53017.409010651114,44.72778973315706,50210.36820149868,45462.84894135847,0,0
2021-12-23,48588.17,51375.0,47920.42,50838.81,35192.54046,1640303999999,1176050,52939.60190312786,59.582718388744304,50925.54037826387,45218.13676459327,0,0
2021-12-24,50838.82,51810.0,50384.43,50820.0,31684.84269,1640390399999,1075177,52863.90183515901,60.95280790241997,51481.56230361443,45187.75198209985,0,0
2021-12-25,50819.99,51156.23,50142.32,50399.66,19135.51613,1640476799999,766979,52775.89319818905,53.37281371907774,51700.7094051694,45112.84345197346,0,0
